2024-10-17 01:17:37 status unpacked libquadmath0:amd64 12.2.0-14
2024-10-17 01:17:37 install libgcc-12-dev:amd64 <none> 12.2.0-14
2024-10-17 01:17:37 status half-installed libgcc-12-dev:amd64 12.2.0-14
2024-10-17 01:17:37 status unpacked libgcc-12-dev:amd64 12.2.0-14
2024-10-17 01:17:37 install gcc-12:amd64 <none> 12.2.0-14
2024-10-17 01:17:37 status half-installed gcc-12:amd64 12.2.0-14
2024-10-17 01:17:38 status unpacked gcc-12:amd64 12.2.0-14
2024-10-17 01:17:38 install gcc:amd64 <none> 4:12.2.0-3
2024-10-17 01:17:38 status half-installed gcc:amd64 4:12.2.0-3
2024-10-17 01:17:38 status unpacked gcc:amd64 4:12.2.0-3
2024-10-17 01:17:38 install libc-dev-bin:amd64 <none> 2.36-9+deb12u8
2024-10-17 01:17:38 status half-installed libc-dev-bin:amd64 2.36-9+deb12u8
2024-10-17 01:17:38 status unpacked libc-dev-bin:amd64 2.36-9+deb12u8
2024-10-17 01:17:38 install linux-libc-dev:amd64 <none> 6.1.112-1
2024-10-17 01:17:38 status half-installed linux-libc-dev:amd64 6.1.112-1
2024-10-17 01:17:38 status unpacked linux-libc-dev:amd64 6.1.112-1
2024-10-17 01:17:38 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2024-10-17 01:17:38 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2024-10-17 01:17:38 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2024-10-17 01:17:38 install libtirpc-common:all <none> 1.3.3+ds-1
2024-10-17 01:17:38 status half-installed libtirpc-common:all 1.3.3+ds-1
2024-10-17 01:17:38 status unpacked libtirpc-common:all 1.3.3+ds-1
2024-10-17 01:17:38 install libtirpc3:amd64 <none> 1.3.3+ds-1
2024-10-17 01:17:38 status half-installed libtirpc3:amd64 1.3.3+ds-1
2024-10-17 01:17:38 status unpacked libtirpc3:amd64 1.3.3+ds-1
2024-10-17 01:17:38 install libnsl2:amd64 <none> 1.3.0-2
2024-10-17 01:17:38 status half-installed libnsl2:amd64 1.3.0-2
2024-10-17 01:17:38 status unpacked libnsl2:amd64 1.3.0-2
2024-10-17 01:17:38 install libtirpc-dev:amd64 <none> 1.3.3+ds-1
2024-10-17 01:17:38 status half-installed libtirpc-dev:amd64 1.3.3+ds-1
2024-10-17 01:17:38 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2024-10-17 01:17:38 install libnsl-dev:amd64 <none> 1.3.0-2
2024-10-17 01:17:38 status half-installed libnsl-dev:amd64 1.3.0-2
2024-10-17 01:17:38 status unpacked libnsl-dev:amd64 1.3.0-2
2024-10-17 01:17:38 install rpcsvc-proto:amd64 <none> 1.4.3-1
2024-10-17 01:17:38 status half-installed rpcsvc-proto:amd64 1.4.3-1
2024-10-17 01:17:38 status unpacked rpcsvc-proto:amd64 1.4.3-1
2024-10-17 01:17:38 install libc6-dev:amd64 <none> 2.36-9+deb12u8
2024-10-17 01:17:38 status half-installed libc6-dev:amd64 2.36-9+deb12u8
2024-10-17 01:17:38 status unpacked libc6-dev:amd64 2.36-9+deb12u8
2024-10-17 01:17:38 install libstdc++-12-dev:amd64 <none> 12.2.0-14
2024-10-17 01:17:38 status half-installed libstdc++-12-dev:amd64 12.2.0-14
2024-10-17 01:17:39 status unpacked libstdc++-12-dev:amd64 12.2.0-14
2024-10-17 01:17:39 install g++-12:amd64 <none> 12.2.0-14
2024-10-17 01:17:39 status half-installed g++-12:amd64 12.2.0-14
2024-10-17 01:17:39 status unpacked g++-12:amd64 12.2.0-14
2024-10-17 01:17:39 install g++:amd64 <none> 4:12.2.0-3
2024-10-17 01:17:39 status half-installed g++:amd64 4:12.2.0-3
2024-10-17 01:17:39 status unpacked g++:amd64 4:12.2.0-3
2024-10-17 01:17:39 install libpkgconf3:amd64 <none> 1.8.1-1
2024-10-17 01:17:39 status half-installed libpkgconf3:amd64 1.8.1-1
2024-10-17 01:17:39 status unpacked libpkgconf3:amd64 1.8.1-1
2024-10-17 01:17:39 install pkgconf-bin:amd64 <none> 1.8.1-1
2024-10-17 01:17:39 status half-installed pkgconf-bin:amd64 1.8.1-1
2024-10-17 01:17:39 status unpacked pkgconf-bin:amd64 1.8.1-1
2024-10-17 01:17:39 install pkgconf:amd64 <none> 1.8.1-1
2024-10-17 01:17:39 status half-installed pkgconf:amd64 1.8.1-1
2024-10-17 01:17:39 status unpacked pkgconf:amd64 1.8.1-1
2024-10-17 01:17:40 install pkg-config:amd64 <none> 1.8.1-1
2024-10-17 01:17:40 status half-installed pkg-config:amd64 1.8.1-1
2024-10-17 01:17:40 status unpacked pkg-config:amd64 1.8.1-1
2024-10-17 01:17:40 install re2c:amd64 <none> 3.0-2
2024-10-17 01:17:40 status half-installed re2c:amd64 3.0-2
2024-10-17 01:17:40 status unpacked re2c:amd64 3.0-2
